prefix	name	query	count
genewiki	Gene Wiki	"""Gene Wiki""[tw]"	13
kegg.compound	KEGG Compound	"""KEGG Compound""[tw]"	13
fungidb	FungiDB	"""FungiDB""[tw]"	13
autdb	AutDB	"""AutDB""[tw]"	13
protege	Protege Ontology	"""Protege Ontology""[tw]"	13
itis	Integrated Taxonomic Information System	"""Integrated Taxonomic Information System""[tw]"	12
pmp	Protein Model Portal	"""Protein Model Portal""[tw]"	12
ordb	Olfactory Receptor Database	"""Olfactory Receptor Database""[tw]"	12
pdb-ccd	Chemical Component Dictionary	"""Chemical Component Dictionary""[tw]"	12
giardiadb	GiardiaDB	"""GiardiaDB""[tw]"	12
pgs	Polygenic Score Catalog	"""Polygenic Score Catalog""[tw]"	12
issn	International Standard Serial Number	"""International Standard Serial Number""[tw]"	12
medgen	Human Medical Genetics	"""Human Medical Genetics""[tw]"	12
dg.4503	BioData Catalyst	"""BioData Catalyst""[tw]"	12
dg5b0d	BloodPAC	"""BloodPAC""[tw]"	12
bao	BioAssay Ontology	"""BioAssay Ontology""[tw]"	12
snp500cancer	SNP500Cancer	"""SNP500Cancer""[tw]"	12
streptomedb	StreptomeDB	"""StreptomeDB""[tw]"	12
kegg.brite	KEGG BRITE	"""KEGG BRITE""[tw]"	12
cryptodb	CryptoDB	"""CryptoDB""[tw]"	12
imsr_em	European Mouse Mutant Archive	"""European Mouse Mutant Archive""[tw]"	11
rnamods	RNA Modification Database	"""RNA Modification Database""[tw]"	11
mmusdv	Mouse Developmental Stages	"""Mouse Developmental Stages""[tw] OR ""Mouse Developmental Stages (MmusDv)""[tw]"	11
fbsp	Fly taxonomy	"""Fly taxonomy""[tw] OR ""Fly taxonomy (FBSP)""[tw]"	11
kegg.genome	KEGG Genome	"""KEGG Genome""[tw]"	11
ped	Protein Ensemble Database	"""Protein Ensemble Database""[tw]"	11
peroxibase	Peroxibase	"""Peroxibase""[tw]"	11
kegg.pathway	KEGG Pathways Database	"""KEGG Pathways Database""[tw]"	11
neuronames	NeuroNames	"""NeuroNames""[tw]"	11
mge	Aclame	"""Aclame""[tw]"	11
brenda	BRENDA Enzyme	"""BRENDA Enzyme""[tw]"	11
rdfs	RDF Schema	"""RDF Schema""[tw] OR ""RDF Schema (rdfs)""[tw]"	11
glycomedb	GlycomeDB	"""GlycomeDB""[tw]"	11
rapdb.transcript	Rice annotation Project database	"""Rice annotation Project database""[tw]"	11
mondo	Mondo Disease Ontology	"""Mondo Disease Ontology""[tw] OR ""Mondo Disease Ontology (MONDO)""[tw]"	11
lncipedia	LNCipedia	"""LNCipedia""[tw]"	11
icd10pcs	International Classification of Diseases, 10th Revision, Procedure Coding System	"""International Classification of Diseases, 10th Revision, Procedure Coding System""[tw]"	11
viperdb	VIPERdb	"""VIPERdb""[tw]"	11
flowrepository	FlowRepository	"""FlowRepository""[tw]"	11
gard	Genetic and Rare Diseases Information Center	"""Genetic and Rare Diseases Information Center""[tw]"	11
oncotree	OncoTree	"""OncoTree""[tw]"	11
phylomedb	PhylomeDB	"""PhylomeDB""[tw]"	10
vario	Variation Ontology	"""Variation Ontology""[tw] OR ""Variation Ontology (VariO)""[tw]"	10
transportdb	TransportDB	"""TransportDB""[tw]"	10
gexo	Gene Expression Ontology	"""Gene Expression Ontology""[tw]"	10
phrr	Philippine Health Research Registry	"""Philippine Health Research Registry""[tw]"	10
pgx	Progenetix	"""Progenetix""[tw]"	10
credit	Contributor Roles Taxonomy	"""Contributor Roles Taxonomy""[tw]"	10
iao	Information Artifact Ontology	"""Information Artifact Ontology""[tw] OR ""Information Artifact Ontology (IAO)""[tw]"	10
matrixdb	MatrixDB	"""MatrixDB""[tw]"	10
webelements	Web Elements	"""Web Elements""[tw]"	9
pathoplant	PathoPlant®	"""PathoPlant®""[tw]"	9
mfoem	Emotion Ontology	"""Emotion Ontology""[tw] OR ""Emotion Ontology (MFOEM)""[tw]"	9
echinobase	Echinobase	"""Echinobase""[tw]"	9
geonames	GeoNames	"""GeoNames""[tw]"	9
bioschemas	BioSchemas	"""BioSchemas""[tw]"	9
bacdive	BacDive	"""BacDive""[tw]"	9
nist	NIST Chemistry WebBook	"""NIST Chemistry WebBook""[tw]"	9
merriamwebster	Merriam Webster Dictionary	"""Merriam Webster Dictionary""[tw]"	9
conoserver	ConoServer	"""ConoServer""[tw]"	9
gmd	Golm Metabolome Database	"""Golm Metabolome Database""[tw]"	8
fairsharing	FAIRsharing	"""FAIRsharing""[tw]"	8
sbo	Systems Biology Ontology	"""Systems Biology Ontology""[tw] OR ""Systems Biology Ontology (SBO)""[tw]"	8
nucleardb	NucleaRDB	"""NucleaRDB""[tw]"	8
nbrc	NITE Biological Resource Center	"""NITE Biological Resource Center""[tw]"	8
bactibase	Bactibase	"""Bactibase""[tw]"	8
vfb	Virtual Fly Brain	"""Virtual Fly Brain""[tw]"	8
tgd	Tetrahymena Genome Database	"""Tetrahymena Genome Database""[tw]"	8
wiktionary	Wiktionary	"""Wiktionary""[tw]"	8
swissregulon	SwissRegulon	"""SwissRegulon""[tw]"	8
cath.superfamily	CATH superfamily	"""CATH superfamily""[tw]"	8
mzspec	Universal Spectrum Identifier	"""Universal Spectrum Identifier""[tw]"	8
bionumbers	BioNumbers	"""BioNumbers""[tw]"	8
uniprot.keyword	UniProt Keywords	"""UniProt Keywords""[tw]"	8
unpd	Universal Natural Products Database	"""Universal Natural Products Database""[tw]"	8
pfam.clan	Pfam Clans	"""Pfam Clans""[tw]"	8
signaling-gateway	Signaling Gateway	"""Signaling Gateway""[tw]"	8
biostudies	BioStudies database	"""BioStudies database""[tw]"	8
signor	Signaling Network Open Resource	"""Signaling Network Open Resource""[tw]"	8
envo	Environment Ontology	"""Environment Ontology""[tw] OR ""Environment Ontology (ENVO)""[tw]"	8
crisprdb	CRISPRdb	"""CRISPRdb""[tw]"	7
caro	Common Anatomy Reference Ontology	"""Common Anatomy Reference Ontology""[tw] OR ""Common Anatomy Reference Ontology (CARO)""[tw]"	7
archdb	ArchDB	"""ArchDB""[tw]"	7
ivdb	Influenza Virus Database	"""Influenza Virus Database""[tw]"	7
ncim	NCI Metathesaurus	"""NCI Metathesaurus""[tw]"	7
antweb	AntWeb	"""AntWeb""[tw]"	7
cgsc	Coli Genetic Stock Center	"""Coli Genetic Stock Center""[tw]"	7
imgt.primerdb	IMGT/PRIMER-DB	"""IMGT/PRIMER-DB""[tw]"	7
epio	Epilepsy Ontology	"""Epilepsy Ontology""[tw] OR ""Epilepsy Ontology (EPIO)""[tw]"	7
idr	Image Data Resource	"""Image Data Resource""[tw]"	7
emmo.cif	Crystallographic Information Framework	"""Crystallographic Information Framework""[tw]"	7
pfr	Proteoform Atlas	"""Proteoform Atlas""[tw]"	7
addgene	Addgene Plasmid Repository	"""Addgene Plasmid Repository""[tw]"	7
genatlas	Genatlas	"""Genatlas""[tw]"	7
vgnc	Vertebrate Gene Nomenclature Committee	"""Vertebrate Gene Nomenclature Committee""[tw]"	7
glycopost	GlycoPOST	"""GlycoPOST""[tw]"	7
imsr_tac	Taconic Biosciences	"""Taconic Biosciences""[tw]"	7
osf	Open Science Framework ID	"""Open Science Framework ID""[tw]"	7
ymdb	Yeast Metabolome Database	"""Yeast Metabolome Database""[tw]"	6
refseq	Reference Sequence Collection	"""Reference Sequence Collection""[tw]"	6
unicarbdb	UniCarb-DB	"""UniCarb-DB""[tw]"	6
sitex	SitEx	"""SitEx""[tw]"	6
chemicalbook	Chemical Book	"""Chemical Book""[tw]"	6
ino	Interaction Network Ontology	"""Interaction Network Ontology""[tw] OR ""Interaction Network Ontology (INO)""[tw]"	6
ovae	Ontology of Vaccine Adverse Events	"""Ontology of Vaccine Adverse Events""[tw] OR ""Ontology of Vaccine Adverse Events (OVAE)""[tw]"	6
gfo	General Formal Ontology	"""General Formal Ontology""[tw]"	6
arachnoserver	ArachnoServer	"""ArachnoServer""[tw]"	6
aspgd.locus	Aspergillus Genome Database	"""Aspergillus Genome Database""[tw]"	6
myco	MycoBrowser	"""MycoBrowser""[tw]"	6
cco	Cell Cycle Ontology	"""Cell Cycle Ontology""[tw]"	6
ddc	Dewey Decimal Classification	"""Dewey Decimal Classification""[tw]"	6
pkdb	PK-DB	"""PK-DB""[tw]"	6
gear	Gene Expression Analysis Resource	"""Gene Expression Analysis Resource""[tw]"	6
upa	Unipathway	"""Unipathway""[tw] OR ""Unipathway (UPA)""[tw]"	6
isbn	International Standard Book Number	"""International Standard Book Number""[tw]"	6
xsd	XML Schema Definition	"""XML Schema Definition""[tw] OR ""XML Schema Definition (xsd)""[tw]"	6
nxr	National Xenopus Resource	"""National Xenopus Resource""[tw]"	6
maxo	Medical Action Ontology	"""Medical Action Ontology""[tw] OR ""Medical Action Ontology (MAXO)""[tw]"	6
exo	Exposure ontology	"""Exposure ontology""[tw] OR ""Exposure ontology (ExO)""[tw]"	6
eaglei	eagle-i	"""eagle-i""[tw]"	6
envipath	enviPath	"""enviPath""[tw]"	6
edam	EDAM Ontology	"""EDAM Ontology""[tw]"	6
collagenmutdb	Collagen Mutation Database	"""Collagen Mutation Database""[tw]"	6
pride.project	PRIDE Project	"""PRIDE Project""[tw]"	6
lncbook	LncBook	"""LncBook""[tw]"	6
topfind	TopFind	"""TopFind""[tw]"	6
rnao	RNA ontology	"""RNA ontology""[tw] OR ""RNA ontology (RNAO)""[tw]"	6
trnadbce	tRNA Gene Database	"""tRNA Gene Database""[tw]"	5
igsr	International Genome Sample Resource	"""International Genome Sample Resource""[tw]"	5
scdo	Sickle Cell Disease Ontology	"""Sickle Cell Disease Ontology""[tw] OR ""Sickle Cell Disease Ontology (SCDO)""[tw]"	5
ico	Informed Consent Ontology	"""Informed Consent Ontology""[tw] OR ""Informed Consent Ontology (ICO)""[tw]"	5
asrp	Arabidopsis Small RNA Project	"""Arabidopsis Small RNA Project""[tw]"	5
irefweb	iRefWeb	"""iRefWeb""[tw]"	5
trichdb	TrichDB	"""TrichDB""[tw]"	5
symp	Symptom Ontology	"""Symptom Ontology""[tw] OR ""Symptom Ontology (SYMP)""[tw]"	5
splicenest	SpliceNest	"""SpliceNest""[tw]"	5
ihw	International Histocompatibility Workshop cell lines	"""International Histocompatibility Workshop cell lines""[tw]"	5
goa	Gene Ontology Annotation Database	"""Gene Ontology Annotation Database""[tw]"	5
gnpis	GnpIS	"""GnpIS""[tw]"	5
eurofir	European Food Information Resource Network	"""European Food Information Resource Network""[tw]"	5
mesh.vocab	Medical Subject Headings Vocabulary	"""Medical Subject Headings Vocabulary""[tw]"	5
pathguide	Pathguide	"""Pathguide""[tw]"	5
merops.clan	MEROPS Clan	"""MEROPS Clan""[tw]"	5
pathbank	PathBank	"""PathBank""[tw]"	5
wormpep	Wormpep	"""Wormpep""[tw]"	5
pmap.cutdb	CutDB	"""CutDB""[tw]"	5
mpath	Mouse pathology ontology	"""Mouse pathology ontology""[tw] OR ""Mouse pathology ontology (MPATH)""[tw]"	5
did	Decentralized Identifier	"""Decentralized Identifier""[tw]"	5
gudmap	Genitourinary Development Molecular Anatomy Project	"""Genitourinary Development Molecular Anatomy Project""[tw]"	5
unirule	UniRule	"""UniRule""[tw]"	5
araport	Arabidopsis Information Portal	"""Arabidopsis Information Portal""[tw]"	5
fyler	Fyler	"""Fyler""[tw]"	5
lcsh	Library of Congress Subject Headings	"""Library of Congress Subject Headings""[tw]"	5
biosimulators	BioSimulators	"""BioSimulators""[tw]"	4
neurondb	NeuronDB	"""NeuronDB""[tw]"	4
agsd	Animal Genome Size Database	"""Animal Genome Size Database""[tw]"	4
vmhgene	VMH Gene	"""VMH Gene""[tw]"	4
agricola	Agricultural Online Access	"""Agricultural Online Access""[tw]"	4
wbphenotype	C. elegans phenotype	"""C. elegans phenotype""[tw] OR ""C. elegans phenotype (WBPhenotype)""[tw]"	4
sugarbind	SugarBind	"""SugarBind""[tw]"	4
foaf	Friend of a Friend	"""Friend of a Friend""[tw] OR ""Friend of a Friend (foaf)""[tw]"	4
opm	Orientations of Proteins in Membranes Database	"""Orientations of Proteins in Membranes Database""[tw]"	4
otl	Oryza Tag Line	"""Oryza Tag Line""[tw]"	4
xuo	XUO	"""XUO""[tw]"	4
ado	Alzheimer's Disease Ontology	"""Alzheimer's Disease Ontology""[tw] OR ""Alzheimer's Disease Ontology (ADO)""[tw]"	4
nsf.award	National Science Foundation Award	"""National Science Foundation Award""[tw]"	4
te	Terminologia Embryologica	"""Terminologia Embryologica""[tw]"	4
idomal	Malaria Ontology	"""Malaria Ontology""[tw] OR ""Malaria Ontology (IDOMAL)""[tw]"	4
uniprot.tissue	Tissue List	"""Tissue List""[tw]"	4
to	Plant Trait Ontology	"""Plant Trait Ontology""[tw] OR ""Plant Trait Ontology (TO)""[tw]"	4
mimodb	MimoDB	"""MimoDB""[tw]"	4
clingen.curation	ClinGen Curation	"""ClinGen Curation""[tw]"	4
arrayexpress.platform	ArrayExpress Platform	"""ArrayExpress Platform""[tw]"	4
re3data	re3data	"""re3data""[tw]"	4
rubygems	RubyGems	"""RubyGems""[tw]"	4
limore	Liver Cancer Model Repository	"""Liver Cancer Model Repository""[tw]"	4
upheno	Unified Phenotype Ontology	"""Unified Phenotype Ontology""[tw] OR ""Unified Phenotype Ontology (UPHENO)""[tw]"	4
lipidbank	LipidBank	"""LipidBank""[tw]"	4
cito	Citation Typing Ontology	"""Citation Typing Ontology""[tw] OR ""Citation Typing Ontology (CiTO)""[tw]"	4
amoebadb	AmoebaDB	"""AmoebaDB""[tw]"	4
dgrc	Drosophila Genomics Resource Center	"""Drosophila Genomics Resource Center""[tw]"	4
crates	Crates.io	"""Crates.io""[tw]"	4
degradome	Degradome Database	"""Degradome Database""[tw]"	4
depod	Human Dephosphorylation Database	"""Human Dephosphorylation Database""[tw]"	4
ensembl.bacteria	Ensembl Bacteria	"""Ensembl Bacteria""[tw]"	4
bcbc	Beta Cell Biology Consortium	"""Beta Cell Biology Consortium""[tw]"	4
biocompute	Biocompute Object	"""Biocompute Object""[tw]"	3
arraymap	ArrayMap	"""ArrayMap""[tw]"	3
agsc	Ambystoma Genetic Stock Center	"""Ambystoma Genetic Stock Center""[tw]"	3
gro	Gene Regulation Ontology	"""Gene Regulation Ontology""[tw]"	3
viroligo	VirOligo	"""VirOligo""[tw]"	3
tcb	Tick Cell Biobank	"""Tick Cell Biobank""[tw]"	3
absd	AntiBody Sequence Database	"""AntiBody Sequence Database""[tw]"	3
wikigenes	WikiGenes	"""WikiGenes""[tw]"	3
glycomapsdb	GlycoMapsDB	"""GlycoMapsDB""[tw]"	3
xao	Xenopus Anatomy Ontology	"""Xenopus Anatomy Ontology""[tw] OR ""Xenopus Anatomy Ontology (XAO)""[tw]"	3
wos.researcher	ResearcherID	"""ResearcherID""[tw]"	3
togovar	TogoVar	"""TogoVar""[tw]"	3
glottolog	Glottolog	"""Glottolog""[tw]"	3
dto	Drug Target Ontology	"""Drug Target Ontology""[tw]"	3
proglyc	ProGlycProt	"""ProGlycProt""[tw]"	3
clingen.allele	ClinGen Allele Registry	"""ClinGen Allele Registry""[tw]"	3
leafsnap	Leafsnap	"""Leafsnap""[tw]"	3
lgic	Ligand-Gated Ion Channel database	"""Ligand-Gated Ion Channel database""[tw]"	3
lincs.smallmolecule	LINCS Small Molecule	"""LINCS Small Molecule""[tw]"	3
cheminf	Chemical Information Ontology	"""Chemical Information Ontology""[tw] OR ""Chemical Information Ontology (CHEMINF)""[tw]"	3
ssn	Semantic Sensor Network Ontology	"""Semantic Sensor Network Ontology""[tw]"	3
probesanddrugs	Probes and Drugs	"""Probes and Drugs""[tw]"	3
ppo	Plant Phenology Ontology	"""Plant Phenology Ontology""[tw] OR ""Plant Phenology Ontology (PPO)""[tw]"	3
markerdb	MarkerDB	"""MarkerDB""[tw]"	3
medlineplus	MedlinePlus Health Topics	"""MedlinePlus Health Topics""[tw]"	3
dwc	Darwin Core Terms	"""Darwin Core Terms""[tw]"	3
mirnest	miRNEST	"""miRNEST""[tw]"	3
pdc.study	Proteomic Data Commons	"""Proteomic Data Commons""[tw]"	3
mmp.ref	MarRef	"""MarRef""[tw]"	3
mmsinc	MMsINC	"""MMsINC""[tw]"	3
molbase	Molbase	"""Molbase""[tw]"	3
molbase.sheffield	MolBase	"""MolBase""[tw]"	3
oecd.template	OECD Harmonised Templates	"""OECD Harmonised Templates""[tw]"	3
npo	NanoParticle Ontology	"""NanoParticle Ontology""[tw]"	3
jrct	Japan Registry of Clinical Trials	"""Japan Registry of Clinical Trials""[tw]"	3
cog.pathway	COG Pathways	"""COG Pathways""[tw]"	3
bootstrep	Gene Regulation Ontology	"""Gene Regulation Ontology""[tw] OR ""Gene Regulation Ontology (BOOTSTREP)""[tw]"	3
biolink	Biolink Model	"""Biolink Model""[tw] OR ""Biolink Model (biolink)""[tw]"	3
sh	Shapes Constraint Language	"""Shapes Constraint Language""[tw] OR ""Shapes Constraint Language (sh)""[tw]"	3
icepo	Ion Channel Electrophysiology Ontology	"""Ion Channel Electrophysiology Ontology""[tw]"	3
esldb	eukaryotic Subcellular Localization database	"""eukaryotic Subcellular Localization database""[tw]"	2
pephub	PEPhub	"""PEPhub""[tw]"	2
shibase	ShiBASE	"""ShiBASE""[tw]"	2
molmedb	MolMeDB	"""MolMeDB""[tw]"	2
biomodels.kisao	Kinetic Simulation Algorithm Ontology	"""Kinetic Simulation Algorithm Ontology""[tw] OR ""Kinetic Simulation Algorithm Ontology (biomodels.kisao)""[tw]"	2
validatordb	ValidatorDB	"""ValidatorDB""[tw]"	2
tngb	Telethon Network of Genetic Biobanks	"""Telethon Network of Genetic Biobanks""[tw]"	2
glycosciencesdb	Glycosciences.DB	"""Glycosciences.DB""[tw]"	2
orth	Orthology Ontology	"""Orthology Ontology""[tw]"	2
vega	Vertebrate Genome Annotation Database	"""Vertebrate Genome Annotation Database""[tw]"	2
polbase	PolBase	"""PolBase""[tw]"	2
sisu	Sequencing Initiative Suomi	"""Sequencing Initiative Suomi""[tw]"	2
clb	ChecklistBank	"""ChecklistBank""[tw]"	2
piroplasma	PiroplasmaDB	"""PiroplasmaDB""[tw]"	2
swo	Software ontology	"""Software ontology""[tw] OR ""Software ontology (SWO)""[tw]"	2
spbase	SpBase	"""SpBase""[tw]"	2
mex	Metabolome Express	"""Metabolome Express""[tw]"	2
grassbase	GrassBase	"""GrassBase""[tw]"	2
lincs.cell	LINCS Cell	"""LINCS Cell""[tw]"	2
rs	Rat Strain Ontology	"""Rat Strain Ontology""[tw] OR ""Rat Strain Ontology (RS)""[tw]"	2
colonatlas	Colorectal Cancer Atlas	"""Colorectal Cancer Atlas""[tw]"	2
mth	Metathesaurus Names	"""Metathesaurus Names""[tw]"	2
addicto	Addiction Ontology	"""Addiction Ontology""[tw]"	2
cro	Contributor Role Ontology	"""Contributor Role Ontology""[tw] OR ""Contributor Role Ontology (CRO)""[tw]"	2
ribocentre	Ribocentre	"""Ribocentre""[tw]"	2
commoncoreontology	Common Core Ontologies	"""Common Core Ontologies""[tw]"	2
genbase	GenBase	"""GenBase""[tw]"	2
rrid	Research Resource Identification	"""Research Resource Identification""[tw]"	2
corrdb	CorrDB	"""CorrDB""[tw]"	2
mmp.db	MarDB	"""MarDB""[tw]"	1
mmp.cat	MarCat	"""MarCat""[tw]"	1
ontorxn	OntoRXN	"""OntoRXN""[tw]"	1
hssp	Database of homology-derived secondary structure of proteins	"""Database of homology-derived secondary structure of proteins""[tw]"	1
yetfasco	YeTFasCo	"""YeTFasCo""[tw]"	1
nddf	National Drug Data File	"""National Drug Data File""[tw]"	1
pennsieve	Pennsieve	"""Pennsieve""[tw]"	1
pdb.ligand	PDB ligand	"""PDB ligand""[tw]"	1
mmrrc	Mutant Mouse Resource and Research Centers	"""Mutant Mouse Resource and Research Centers""[tw]"	1
string	Search Tool for Retrieval of Interacting Genes/Proteins	"""Search Tool for Retrieval of Interacting Genes/Proteins""[tw]"	1
vsdb	Veterinary Substances DataBase	"""Veterinary Substances DataBase""[tw]"	1
spike.map	SPIKE Map	"""SPIKE Map""[tw]"	1
ximbio	Ximbio	"""Ximbio""[tw]"	1
ohmi	Ontology of Host-Microbiome Interactions	"""Ontology of Host-Microbiome Interactions""[tw] OR ""Ontology of Host-Microbiome Interactions (OHMI)""[tw]"	1
genefarm	GeneFarm	"""GeneFarm""[tw]"	1
namerxn	NameRXN	"""NameRXN""[tw]"	1
n2t	Name-to-Thing	"""Name-to-Thing""[tw]"	1
multicellds	MultiCellDS	"""MultiCellDS""[tw]"	1
mipmod	MIPModDB	"""MIPModDB""[tw]"	1
scretf	ScerTF	"""ScerTF""[tw]"	1
microsporidia	MicrosporidiaDB	"""MicrosporidiaDB""[tw]"	1
ucum	Unified Code for Units of Measure	"""Unified Code for Units of Measure""[tw]"	1
kegg.reaction	KEGG Reaction	"""KEGG Reaction""[tw]"	1
repec	Peruvian Clinical Trial Registry	"""Peruvian Clinical Trial Registry""[tw]"	1
rnaloops	RNAloops	"""RNAloops""[tw]"	1
kegg.enzyme	KEGG Enzyme	"""KEGG Enzyme""[tw]"	1
roleo	Role Ontology	"""Role Ontology""[tw] OR ""Role Ontology (RoleO)""[tw]"	1
ror	Research Organization Registry	"""Research Organization Registry""[tw]"	1
kclb	Korean Cell Line Bank	"""Korean Cell Line Bank""[tw]"	1
mesh.2012	MeSH 2012	"""MeSH 2012""[tw]"	1
uberon	Uber Anatomy Ontology	"""Uber Anatomy Ontology""[tw] OR ""Uber Anatomy Ontology (UBERON)""[tw]"	1
rrrc	Rat Resource and Research Center	"""Rat Resource and Research Center""[tw]"	1
istransbase	ISTransbase	"""ISTransbase""[tw]"	1
jcm	Japan Collection of Microorganisms	"""Japan Collection of Microorganisms""[tw]"	1
runbiosimulations	runBioSimulations	"""runBioSimulations""[tw]"	1
treehub	TreeHub	"""TreeHub""[tw]"	1
shareloc	ShareLoc	"""ShareLoc""[tw]"	1
rebec	Brazilian Registry of Clinical Trials	"""Brazilian Registry of Clinical Trials""[tw]"	1
ligandbook	LigandBook	"""LigandBook""[tw]"	1
ligandbox	LigandBox	"""LigandBox""[tw]"	1
interlex	InterLex	"""InterLex""[tw]"	1
linkml	LinkML	"""LinkML""[tw] OR ""LinkML (linkml)""[tw]"	1
protclustdb	ProtClustDB	"""ProtClustDB""[tw]"	1
integbio	Integbio	"""Integbio""[tw]"	1
go.model	Gene Ontology Causal Activity Model	"""Gene Ontology Causal Activity Model""[tw]"	1
venom	Veterinary Nomenclature	"""Veterinary Nomenclature""[tw] OR ""Veterinary Nomenclature (VeNom)""[tw]"	1
poro	Porifera Ontology	"""Porifera Ontology""[tw] OR ""Porifera Ontology (PORO)""[tw]"	1
pmap.substratedb	SubstrateDB	"""SubstrateDB""[tw]"	1
scancerrna	SCancerRNA	"""SCancerRNA""[tw]"	1
snornabase	snoRNABase	"""snoRNABase""[tw]"	1
t3db	Toxin and Toxin Target Database	"""Toxin and Toxin Target Database""[tw]"	1
phosphosite.protein	PhosphoSite Protein	"""PhosphoSite Protein""[tw]"	1
phagedive	PhageDive	"""PhageDive""[tw]"	1
storedb	Store DB	"""Store DB""[tw]"	1
zp	Zebrafish Phenotype Ontology	"""Zebrafish Phenotype Ontology""[tw] OR ""Zebrafish Phenotype Ontology (ZP)""[tw]"	1
biofactoid	Biofactoid	"""Biofactoid""[tw]"	1
diabetesomic	DiabetesOmic	"""DiabetesOmic""[tw]"	1
asteraceaegd.plant	Asteraceae Genome Database	"""Asteraceae Genome Database""[tw]"	1
corum	Comprehensive Resource of Mammalian protein complexes	"""Comprehensive Resource of Mammalian protein complexes""[tw]"	1
asteraceaegd.genome	Asteraceae Genome Database	"""Asteraceae Genome Database""[tw]"	1
ferroliganddb	FerroLigandDB	"""FerroLigandDB""[tw]"	1
ctd.chemical	CTD Chemical	"""CTD Chemical""[tw]"	1
fplx	FamPlex	"""FamPlex""[tw]"	1
cubedb	Cube db	"""Cube db""[tw]"	1
ecolexicon	EcoLexicon	"""EcoLexicon""[tw]"	1
fcb	FAIR Cookbook	"""FAIR Cookbook""[tw]"	1
biokc	BioKC	"""BioKC""[tw]"	1
biodolphin	BioDolphin	"""BioDolphin""[tw]"	1
caps	CAPS-DB	"""CAPS-DB""[tw]"	1
cvdo	Cardiovascular Disease Ontology	"""Cardiovascular Disease Ontology""[tw] OR ""Cardiovascular Disease Ontology (CVDO)""[tw]"	1
chembl.mechanism	ChEMBL mechanism	"""ChEMBL mechanism""[tw]"	0
pubchem.classification	PubChem Classification	"""PubChem Classification""[tw]"	0
pubchem.cell	PubChem Cell Line	"""PubChem Cell Line""[tw]"	0
pubchem.bioassay	NCBI PubChem database of bioassay records	"""NCBI PubChem database of bioassay records""[tw]"	0
pso	Plant Stress Ontology	"""Plant Stress Ontology""[tw] OR ""Plant Stress Ontology (PSO)""[tw]"	0
ptr	Pointer Methods in RDF	"""Pointer Methods in RDF""[tw]"	0
psskb	Protein Structure and Stability Knowledge Base	"""Protein Structure and Stability Knowledge Base""[tw]"	0
pspub	Phenoscape Publication	"""Phenoscape Publication""[tw]"	0
pubchem.substance	PubChem Substance ID (SID)	"""PubChem Substance ID (SID)""[tw]"	0
chembl.target	ChEMBL target	"""ChEMBL target""[tw]"	0
chembl.tissue	ChEMBL tissue	"""ChEMBL tissue""[tw]"	0
chemfont.chemical	ChemFOnt Chemical	"""ChemFOnt Chemical""[tw]"	0
pubchem.element	PubChem Element	"""PubChem Element""[tw]"	0
frapo	Funding, Research Administration and Projects Ontology	"""Funding, Research Administration and Projects Ontology""[tw] OR ""Funding, Research Administration and Projects Ontology (FRAPO)""[tw]"	0
publons.publication	Publons publication	"""Publons publication""[tw]"	0
publons.researcher	Publons Researcher	"""Publons Researcher""[tw]"	0
cemo	The COVID-19 epidemiology and monitoring ontology	"""The COVID-19 epidemiology and monitoring ontology""[tw]"	0
ceph	Cephalopod Ontology	"""Cephalopod Ontology""[tw] OR ""Cephalopod Ontology (CEPH)""[tw]"	0
rapdb.locus	RAP-DB Locus	"""RAP-DB Locus""[tw]"	0
raid	Research Activity Identifier	"""Research Activity Identifier""[tw]"	0
radlex	RSNA Informatics RadLex	"""RSNA Informatics RadLex""[tw]"	0
radiomics	Radiomics Ontology	"""Radiomics Ontology""[tw]"	0
qudt	Quantities, Units, Dimensions, and Types Ontology	"""Quantities, Units, Dimensions, and Types Ontology""[tw] OR ""Quantities, Units, Dimensions, and Types Ontology (qudt)""[tw]"	0
qualo	Qualification Ontology	"""Qualification Ontology""[tw]"	0
qtldb	Animal Genome QTL	"""Animal Genome QTL""[tw]"	0
qb	The data cube vocabulary	"""The data cube vocabulary""[tw] OR ""The data cube vocabulary (qb)""[tw]"	0
cghdb	CGH Data Base	"""CGH Data Base""[tw]"	0
cgnc	Chicken Gene Nomenclature Consortium	"""Chicken Gene Nomenclature Consortium""[tw]"	0
pwo	Publishing Workflow Ontology	"""Publishing Workflow Ontology""[tw] OR ""Publishing Workflow Ontology (PWO)""[tw]"	0
charprot	CharProt	"""CharProt""[tw]"	0
puro	Publishing Roles Ontology	"""Publishing Roles Ontology""[tw] OR ""Publishing Roles Ontology (PuRO)""[tw]"	0
chembl.cell	ChEMBL database of bioactive drug-like small molecules - Cell lines section	"""ChEMBL database of bioactive drug-like small molecules - Cell lines section""[tw]"	0
pscdb	Protein Structural Change Database	"""Protein Structural Change Database""[tw]"	0
psdo	Performance Summary Display Ontology	"""Performance Summary Display Ontology""[tw] OR ""Performance Summary Display Ontology (PSDO)""[tw]"	0
protonet.cluster	ProtoNet Cluster	"""ProtoNet Cluster""[tw]"	0
prov	PROV Namespace	"""PROV Namespace""[tw] OR ""PROV Namespace (prov)""[tw]"	0
chr	Chromosome Ontology	"""Chromosome Ontology""[tw]"	0
